sex,lives_with_partner,n_household,retired,age,age_partner,years_of_education,household_income,books_age_10,relative_math_ability_at_age_10,relative_language_ability_at_age_10
female,yes,2,yes,79,76,12,16525,>25,better,better
female,yes,2,yes,73,74,11,40677,>25,same/worse,same/worse
male,yes,2,no,56,57,11,56396,>25,same/worse,same/worse
female,yes,2,yes,76,72,12,47009,>25,same/worse,same/worse
male,yes,2,yes,73,69,8,17716,0-25,better,same/worse
male,yes,2,no,56,60,7,30083,>25,same/worse,same/worse
female,yes,2,no,61,63,15,22300,>25,better,better
female,no,1,yes,79,NA,5,36752,>25,same/worse,same/worse
female,yes,2,yes,72,74,11,71567,>25,same/worse,same/worse
female,yes,2,no,80,70,21,27409,>25,same/worse,better
female,yes,2,yes,73,72,9,22183,0-25,same/worse,better
male,yes,2,yes,77,70,10,19046,0-25,better,same/worse
female,no,1,yes,84,NA,8,1294,0-25,same/worse,same/worse
female,no,1,yes,71,NA,4,3297,0-25,same/worse,same/worse
male,yes,2,yes,67,69,13,17964,>25,same/worse,same/worse
female,yes,2,yes,66,69,11,26571,0-25,same/worse,same/worse
female,no,1,yes,73,NA,8,11303,0-25,same/worse,same/worse
female,yes,3,no,61,67,15,39536,>25,better,better
female,yes,2,no,60,62,10,14862,0-25,same/worse,better
female,yes,2,yes,75,71,11,12142,>25,same/worse,same/worse
male,yes,2,yes,77,69,16,40187,>25,better,better
female,no,1,yes,75,NA,2,950,0-25,better,same/worse
male,no,1,yes,71,NA,9,2941,0-25,same/worse,same/worse
male,no,1,no,61,NA,22,24788,>25,better,same/worse
female,yes,2,yes,65,75,15,30685,>25,same/worse,better
male,yes,2,no,55,53,13,24802,>25,same/worse,same/worse
female,no,1,yes,75,NA,13,9639,>25,same/worse,better
female,no,1,no,59,NA,15,42027,0-25,same/worse,same/worse
male,yes,2,yes,71,70,11,16537,>25,same/worse,better
female,yes,2,no,71,68,13,33573,>25,same/worse,better
female,yes,2,yes,76,76,10,16908,0-25,better,better
female,no,1,yes,76,NA,7,55,0-25,same/worse,better
female,yes,2,no,55,57,12,16977,>25,same/worse,same/worse
female,yes,2,yes,96,85,8,59972,0-25,better,better
male,yes,2,no,58,57,15,36238,>25,better,better
female,no,1,yes,72,NA,9,9441,>25,better,better
female,yes,2,yes,71,72,10,9616,0-25,same/worse,better
male,yes,2,yes,65,61,14,27423,>25,better,same/worse
male,yes,2,no,57,57,13,45223,>25,same/worse,same/worse
male,yes,2,no,56,58,10,20094,0-25,same/worse,same/worse
male,yes,2,no,61,63,8,29324,>25,same/worse,same/worse
male,yes,3,no,69,62,8,82199,0-25,same/worse,same/worse
female,yes,2,yes,67,74,11,26868,>25,better,same/worse
male,no,1,yes,75,NA,7,71152,0-25,same/worse,better
female,no,1,yes,73,NA,14,20443,>25,better,better
female,yes,2,no,63,67,16,71365,>25,better,better
female,yes,2,yes,75,74,3,10928,0-25,better,better
male,yes,2,yes,70,73,10,11460,>25,better,same/worse
female,yes,2,yes,69,77,16,33396,>25,better,better
female,yes,2,yes,80,78,8,6901,0-25,same/worse,better
female,no,1,yes,90,NA,6,34652,>25,same/worse,same/worse
male,yes,2,no,65,59,10,23903,>25,same/worse,same/worse
male,no,1,yes,73,NA,11,464,>25,better,same/worse
female,no,1,yes,84,NA,5,11495,0-25,same/worse,same/worse
female,yes,2,yes,78,73,13,15681,0-25,same/worse,same/worse
female,yes,2,yes,74,72,7,28854,>25,better,same/worse
female,yes,2,yes,81,75,10,47589,0-25,better,same/worse
male,yes,2,no,66,67,10,70998,0-25,same/worse,same/worse
male,yes,2,no,60,68,6,17144,>25,same/worse,same/worse
female,yes,2,yes,65,68,14,32679,0-25,better,same/worse
male,yes,2,no,55,52,8,51742,>25,same/worse,same/worse
female,yes,2,no,56,62,15,18183,>25,same/worse,same/worse
female,yes,2,yes,67,79,11,23285,>25,same/worse,better
female,yes,2,yes,68,70,16,27590,>25,better,better
female,yes,2,yes,65,67,14,12088,>25,same/worse,same/worse
female,yes,2,yes,85,78,9,24812,0-25,same/worse,better
male,yes,2,no,64,58,14,137557,>25,better,better
female,yes,2,yes,67,71,6,45684,>25,better,better
female,no,1,yes,80,NA,11,4906,0-25,same/worse,same/worse
male,no,1,no,62,NA,11,3806,>25,same/worse,same/worse
female,no,1,yes,75,NA,8,7802,>25,same/worse,same/worse
female,no,1,no,59,NA,13,15253,>25,better,better
male,yes,2,no,57,55,17,30798,>25,same/worse,better
male,yes,2,yes,73,66,12,34348,>25,same/worse,same/worse
female,yes,2,no,67,66,12,16119,0-25,better,better
male,yes,2,yes,79,70,7,19784,0-25,same/worse,same/worse
male,yes,2,yes,96,82,0,11591,0-25,same/worse,same/worse
female,yes,2,no,57,60,3,15727,0-25,same/worse,same/worse
female,no,1,yes,80,NA,7,6488,0-25,better,same/worse
female,yes,2,yes,69,78,9,53470,0-25,same/worse,better
female,yes,2,no,72,67,8,41345,>25,better,better
male,yes,2,yes,70,67,14,62686,>25,better,same/worse
female,no,1,yes,80,NA,7,7050,0-25,same/worse,better
male,yes,2,yes,69,65,15,30044,>25,better,better
male,yes,2,no,58,56,13,46147,0-25,better,better
male,yes,2,yes,71,67,14,51780,>25,better,better
female,no,1,yes,74,NA,2,12738,0-25,same/worse,same/worse
